ID,name,age,sex,breed,color,coat,size,neutered,likes_children
27,Talalt Spicc,11.58,male,Spitz,white,long,small,no,NaN
389,Bobby,7.92,male,Unknown Mix,black,short,medium,NaN,NaN
384,Carita,7.58,female,Unknown Mix,yellow-brown,medium,medium,NaN,NaN
321,Kisvardai Kolos,7.17,male,Greyhound Mix,yellow-brown,short,medium,yes,yes
6350,Einstein,8.08,male,Pumi Mix,gray,medium,medium,no,yes
922,Gyali Csipi,12.42,female,Unknown Mix,yellow-brown,short,medium,NaN,NaN
516,Mumus,7.08,male,Unknown Mix,brown,medium,medium,NaN,NaN
507,Betty,8.92,female,German Shepherd Dog Mix,saddle back,short,medium,yes,yes
920,Picurella,14.67,female,Unknown Mix,black and white,short,small,yes,NaN
6395,NaN,6.92,female,Unknown Mix,brown,medium,small,NaN,NaN
351,Hopi,8.75,male,Unknown Mix,yellow-brown,short,medium,NaN,NaN
354,Tina,9.92,female,Cocker Spaniel,black and brown,medium,medium,NaN,NaN
364,Resi,13.92,female,Unknown Mix,sable,short,medium,NaN,NaN
360,Kajla,7.5,female,Dachshund Mix,brown,short,medium,NaN,NaN
2177,Marta,9.0,female,Unknown Mix,brown and white,short,medium,NaN,NaN
366,Schnecke,7.83,female,Terrier Mix,gray and black,medium,medium,NaN,yes
355,Bebi,7.75,female,Unknown Mix,black,medium,medium,NaN,NaN
377,Camillo,8.92,male,Pekingese Mix,brown,short,small,NaN,NaN
362,Aden,15.92,female,Beagle,tricolor,short,medium,NaN,NaN
371,Cheryl,7.92,female,Unknown Mix,black,short,medium,NaN,yes
1937,Guszti,12.58,male,Dachshund Mix,black and brown,wirehaired,medium,NaN,NaN
368,Bogi,7.67,female,Dachshund Mix,black,short,medium,NaN,yes
348,Adele,7.92,female,Unknown Mix,sable,short,medium,NaN,NaN
378,Xanto,9.83,male,Puli Mix,black,long,medium,NaN,NaN
82,Tina,8.08,female,"Kuvasz, Labrador Retriever Mix",brown and white,short,large,no,yes
367,Geri,9.92,male,Unknown Mix,spotty,short,medium,NaN,NaN
18,Jonny,15.67,male,Unknown Mix,black and brown,short,medium,NaN,NaN
504,Ria,7.33,female,Unknown Mix,black and brown,wirehaired,medium,NaN,yes
347,Adam,7.75,male,Unknown Mix,black,wirehaired,small,NaN,NaN
73,Rezes,10.0,male,Unknown Mix,red,short,medium,yes,NaN
4,Borzas,10.75,male,Tibetan Terrier,black,long,medium,NaN,yes
11,Suzy,8.17,female,Unknown Mix,black and brown,short,large,yes,yes
1,Benga,8.92,male,"Beagle, Chihuahua Mix",black and white,short,small,no,yes
9,Dani,7.75,male,Unknown Mix,black,short,small,NaN,no
432,Tulipan,12.67,female,Dachshund Mix,red,short,small,NaN,NaN
503,Reta,7.33,female,Unknown Mix,black and brown,wirehaired,medium,NaN,yes
495,Anda,7.0,female,Unknown Mix,brown,short,medium,NaN,yes
515,Olgi,8.08,female,Unknown Mix,black,medium,medium,yes,yes
501,Dundi,10.92,female,Dachshund Mix,red,long,small,NaN,NaN
913,Grafit Grafi,7.25,male,Terrier Mix,black and tan,short,medium,NaN,NaN
2,Puli Keverek,10.75,male,Unknown Mix,black,long,medium,NaN,NaN
5,Hevesi Palota Pincsi,16.75,male,Pekingese,red,long,small,NaN,NaN
2016,Tufa,7.25,male,Unknown Mix,yellow-brown,medium,medium,NaN,NaN
502,Rella,7.33,female,Unknown Mix,sable,wirehaired,medium,NaN,yes
5,Jamie,8.17,male,Unknown Mix,gray,short,medium,yes,NaN
6,Gyali Tacsko Keverek,8.75,male,Unknown Mix,brown and white,short,medium,NaN,yes
428,Dino,7.67,female,Dachshund Mix,red,short,small,NaN,NaN
1,NaN,13.75,male,Unknown Mix,yellow-brown,short,small,NaN,yes
3,Hevesi Keverek Kutyus,10.75,male,Unknown Mix,black and tan,medium,medium,NaN,NaN
